,crypto_Ethereum_cumret_5d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d
2022-11-17,-87.18451868368466,471.75244278861425,-269.0473535029342,-198.32956604973472,217.3736593778332,-90.19241734661763,36.91793514158225,50.718104578471824,245.5180191749725,75.08290302739199,136.47891837434642,80.27787928971908,74.13947665963357,67.66350301076832
2022-11-18,-15.373855734278008,1226.9117864118632,-95.45054868563673,-180.26866129150133,235.64782756438512,-100.97305535622742,33.948757280170504,43.453969173335004,215.02748694878204,68.74281067891454,134.8449088267603,76.69497647996522,73.87659953757387,66.61554044380749
2022-11-19,-37.04021024088357,2455.4048126479993,102.80843493077099,-206.0397236808113,234.38877633340428,-92.9381870324248,30.23923421661187,35.98282473123401,143.40120601423126,62.52475810769933,135.07970144869844,73.11535924010461,73.5015468601115,65.54537604046612
2022-11-20,-179.54557493312527,248.23811515998023,-129.66123611477073,-146.84756915532037,208.61778016718512,-111.39134355487168,54.22851908064143,48.90452664827435,61.18866329771324,63.05326995600282,136.75599702114923,72.42000270097647,73.77978050215458,65.70750659750932
2022-11-21,-181.55611132393844,5.133312911712315,-150.65459630548278,-107.61228807064039,209.0248513379113,-123.50213024433478,54.40442841222563,40.2324784551906,62.58745088871237,57.402988705759675,136.57193673092965,69.16291363752414,72.98864887149203,64.82323168446219
2022-11-22,-110.48821365886994,-18.67922838204862,-101.26566465103217,-172.69117922255168,203.71173075229242,-101.67526822815623,64.67080301525748,44.74625497648928,68.76442690842252,55.87855551156894,137.31278774688548,67.18497980790576,73.18332040398043,64.0848471697154
2022-11-23,-47.75991374556019,83.25259374092666,-32.34276701969067,-192.98937172148567,186.23106873395147,-89.93623842123947,77.01303361386019,48.002848425975984,77.76027046286399,56.517425535041255,139.04326217617162,66.54434718203197,73.69931920848853,63.81696634563351
2022-11-24,-23.440552099733065,74.46439776020087,-30.983659326416962,-194.09752103733538,228.36478946094337,-108.7943115613748,78.9381915318597,39.627305302650925,77.99985745474216,51.94068144759662,134.74554777719632,63.833447600351846,73.72092402115133,62.931083668094566
2022-11-25,94.8155710338091,70.60343900438637,-43.406291090669086,-201.1118039476122,227.96124680175157,-106.6142386224646,50.02988297875153,33.72933975402708,77.37572041154733,47.067810502186994,134.81528101638898,60.71802971758121,73.42788022380276,61.890937152280344
2022-11-26,165.80070109165348,454.62624582212305,-8.07133118520978,-248.05445140133057,232.26652091387228,-92.45286227108228,31.577042132549654,27.540242258837804,74.42126452233799,42.64601472063308,134.8019647120734,57.852880335010084,73.44211442307618,60.90088761377127
2022-11-27,101.16567463815637,505.50980865323567,-4.77583882703575,-240.64748466963044,232.522620053374,-94.77121417912079,36.40841144010989,24.319497448663128,74.1157767125489,38.904277637328875,134.730824713301,55.07248792563784,73.44212449531874,59.90591776352304
2022-11-28,-21.906853919441247,244.71184453860099,-35.6895533748167,-151.60376785508205,418.5534255180945,-45.388071748379474,26.486863680200344,24.153205119822022,75.20678806060191,36.577481568516504,117.69185082915305,52.76273229857094,73.54272190602917,59.033478709015576
2022-11-29,20.977956002749828,25.23049181523744,-1.261562116195016,1181.7152461269236,546.533302004211,35.145746241732134,41.38849213032152,34.521017070830986,82.43620085854783,39.06138853014255,85.93364224869279,52.59242780039487,74.00062724175484,58.77771609636352
2022-11-30,152.5658138340291,-270.5898120566802,126.73088525696097,48.89254246734145,24.262716125519308,-1.0142052117732538,62.83674864926084,43.7656840039764,74.497847894444,45.23422174369029,55.45370929182535,54.87837678655762,75.06068028728181,59.44061202889846
2022-12-01,111.49201455267797,-280.0775989439204,142.0541458593864,61.58509235032948,20.64100544102245,-2.976647537881668,67.57188981951406,44.19163812016916,69.18827903165342,43.29810812954453,55.678786654283996,52.693528794671415,74.91921616353244,58.538846244911355
2022-12-02,156.70145159130436,-212.2554891753631,132.1026204262984,-28.404345476395626,32.65110651833465,10.672783833767257,64.40608812348393,36.09009066735818,68.65426204535716,39.23560381329704,54.87773657850854,50.26696649997102,74.61125523105227,57.659353785326125
2022-12-03,119.353386845961,88.96988754076828,49.92083535144333,-43.07111372880957,17.704174753402032,6.083834114081482,74.40897175643931,44.35451594745735,75.28338137141415,42.85840816587662,56.40230520651141,50.347517073138604,74.78811358458546,57.32252367218494
2022-12-04,99.76202449604942,-65.265193171419,61.85382389501819,-57.556690002367276,5.503368052157823,10.684277519305736,71.83629110323415,41.867514936854185,77.2057430277398,41.08158474466983,57.324716647621266,48.998636740068136,75.03041588237042,56.75773150096839
2022-12-05,-55.40587764874264,-121.73297523795814,49.774014850993545,5.063764727494553,-1.2048490938976566,2.2038926184016643,49.5009160883096,37.02524360386945,78.88898202882272,38.656110535936584,57.713505259373555,47.09373124358211,75.09230277077079,55.914254585216504
2022-12-06,-7.128548810427315,-138.2327821085357,53.46430738539938,-75.27011323111824,19.714334164783924,15.71067605008368,49.64835027774587,30.912209527483768,78.96984048192651,35.14832137562751,56.30382467506357,44.89514078467187,75.0738524472774,55.03735715309648
2022-12-07,-96.27462156703537,-244.54552495893645,30.956030367194547,-52.51431540534344,-0.3295994202483527,9.061060601152196,52.11564894944836,32.845718785084394,83.62305441888574,35.86825691005783,57.76326357983502,44.29319414516353,75.28406999620363,54.506960786160754
2022-12-08,58.84090571951452,-364.54833413460096,91.2870645324637,-77.60444343394931,-20.69878192689046,19.242503138295135,53.56249570373478,39.855824696502026,84.9631806346532,38.09529383084282,59.79705498737707,44.4649051925669,75.6927312712213,54.29318851834522
2022-12-09,-24.676573957337812,-203.44642179251866,38.46548769937672,-31.338616646320354,-26.595153006082235,12.876415506466564,49.32365100057299,34.89779617009014,82.09887873417095,35.503152541957576,60.15773453355424,42.66004639456082,75.58900806835584,53.46208633558389
2022-12-10,10.438690237971988,-266.185808461718,-23.03621782668596,145.34137646498417,-46.11254636510168,35.8891058593203,47.34592529792438,28.506242792624935,63.80202316903338,32.114086568633375,52.59947383724728,40.57850040525679,75.56886420325077,52.58147434478705
2022-12-11,-12.070988413456817,-211.15933539170695,-9.835721269839384,143.9642383827495,-30.8089485908518,45.76128314252527,46.584779355364226,23.33768851687497,62.80697865778969,29.09441345230503,50.35716581300622,38.61290314312459,75.52981044803808,51.71275695416312
