,BTC-USD_price,ETH-USD_price,BNB-USD_price,ADA-USD_price,SOL-USD_price
2024-07-20,67163.6484375,3519.29541015625,593.5722045898438,0.4376370012760162,173.89178466796875
2024-07-21,68154.5234375,3536.60546875,601.8511962890625,0.4460769891738891,184.54161071777344
2024-07-22,67585.25,3440.419921875,587.9177856445312,0.4265469908714294,178.97828674316406
2024-07-23,65927.671875,3481.995849609375,582.0995483398438,0.4100970029830932,172.757568359375
2024-07-24,65372.1328125,3336.33935546875,574.5784912109375,0.4068470001220703,178.0323028564453
2024-07-25,65777.2265625,3174.42724609375,570.71337890625,0.3946709930896759,171.96307373046875
2024-07-26,67912.0625,3275.951416015625,581.0779418945312,0.4177469909191131,183.13671875
2024-07-27,67813.3359375,3247.60791015625,581.5888061523438,0.4181979894638061,184.0854034423828
2024-07-28,68255.8671875,3271.464599609375,584.099609375,0.4073869884014129,184.88607788085932
2024-07-29,66819.9140625,3320.539306640625,574.642578125,0.404013991355896,182.7805938720703
2024-07-30,66201.015625,3278.667724609375,587.6651000976562,0.4016799926757812,179.10719299316406
2024-07-31,64619.25,3231.295654296875,576.3681640625,0.3887729942798614,171.82615661621094
2024-08-01,65357.5,3201.564453125,575.146728515625,0.3927060067653656,167.672119140625
2024-08-02,61415.06640625,2986.01318359375,542.9151611328125,0.3638220131397247,152.6382293701172
2024-08-03,60680.09375,2903.3857421875,529.4813232421875,0.364095002412796,142.9219970703125
2024-08-04,58116.9765625,2686.39892578125,497.0390930175781,0.3439379930496216,138.05508422851562
2024-08-05,53991.45703125,2417.206298828125,464.6269226074219,0.3131549954414367,129.8643035888672
2024-08-06,56034.31640625,2458.723876953125,484.3238220214844,0.3307819962501526,144.09036254882812
2024-08-07,55027.4609375,2336.58935546875,474.2247619628906,0.3236980140209198,144.63209533691406
2024-08-08,61710.13671875,2683.352783203125,517.3375244140625,0.3518140017986297,162.9307403564453
2024-08-09,60880.11328125,2599.5986328125,509.1827087402344,0.3485470116138458,156.45721435546875
2024-08-10,60945.8125,2610.02294921875,523.317626953125,0.3462890088558197,153.95916748046875
2024-08-11,58719.484375,2553.252197265625,503.8045349121094,0.3283219933509826,141.52685546875
