,alpha,beta,residual_std,r_squared,n_observations
fixed_income_Treasury_10Y_Yield_skewness_10d,0.0,1.0,0.049095038948141455,0.1,15.0
fixed_income_Treasury_10Y_Yield_kurtosis_10d,0.0,1.0,0.049064931071084714,0.1,15.0
fixed_income_Treasury_10Y_Yield_cumret_10d,0.0,1.0,0.05523470331189196,0.1,11.0
fixed_income_Treasury_10Y_Yield_skewness_20d,0.0,1.0,0.0413746035239008,0.1,27.0
fixed_income_Treasury_10Y_Yield_kurtosis_20d,0.0,1.0,0.039045727063841636,0.1,23.0
fixed_income_Treasury_10Y_Yield_cumret_20d,0.0,1.0,0.04199434272840814,0.1,22.0
fixed_income_Treasury_5Y_Yield_cumret_1d,0.0,1.0,0.061360471651427266,0.1,5.0
fixed_income_Treasury_5Y_Yield_skewness_5d,0.0,1.0,0.04928988803469466,0.1,12.0
fixed_income_Treasury_5Y_Yield_kurtosis_5d,0.0,1.0,0.048189652910567954,0.1,12.0
fixed_income_Treasury_5Y_Yield_cumret_5d,0.0,1.0,0.0533259529759504,0.1,7.0
fixed_income_Treasury_5Y_Yield_skewness_10d,0.0,1.0,0.04790365728267696,0.1,17.0
fixed_income_Treasury_5Y_Yield_kurtosis_10d,0.0,1.0,0.047805753042331776,0.1,14.0
fixed_income_Treasury_5Y_Yield_cumret_10d,0.0,1.0,0.056197712655334194,0.1,11.0
fixed_income_Treasury_5Y_Yield_skewness_20d,-0.003921764209613858,0.11242060077501147,0.08672064200775065,0.03083860169844299,28.0
fixed_income_Treasury_5Y_Yield_kurtosis_20d,0.0,1.0,0.03891200528817693,0.1,25.0
fixed_income_Treasury_5Y_Yield_cumret_20d,0.0,1.0,0.04360583956524794,0.1,19.0
fixed_income_Treasury_30Y_Yield_cumret_1d,0.0,1.0,0.05356936054890431,0.1,4.0
fixed_income_Treasury_30Y_Yield_skewness_5d,0.0,1.0,0.050266900515438834,0.1,13.0
fixed_income_Treasury_30Y_Yield_kurtosis_5d,0.0,1.0,0.04919508244921661,0.1,15.0
fixed_income_Treasury_30Y_Yield_cumret_5d,0.0,1.0,0.05208353049612278,0.1,7.0
fixed_income_Treasury_30Y_Yield_skewness_10d,0.0,1.0,0.0501024308446568,0.1,14.0
fixed_income_Treasury_30Y_Yield_kurtosis_10d,0.0,1.0,0.047869602922498054,0.1,17.0
fixed_income_Treasury_30Y_Yield_cumret_10d,0.0,1.0,0.05467549519632026,0.1,10.0
fixed_income_Treasury_30Y_Yield_skewness_20d,0.0,1.0,0.04326474914267847,0.1,26.0
fixed_income_Treasury_30Y_Yield_kurtosis_20d,0.0,1.0,0.040839143406553306,0.1,18.0
fixed_income_Treasury_30Y_Yield_cumret_20d,0.0,1.0,0.04314496252052686,0.1,19.0
fixed_income_Treasury_Bond_ETF_cumret_1d,0.0,1.0,0.05429529875227661,0.1,3.0
fixed_income_Treasury_Bond_ETF_skewness_5d,0.0,1.0,0.046857313245313975,0.1,14.0
fixed_income_Treasury_Bond_ETF_kurtosis_5d,0.0,1.0,0.0476431358916615,0.1,11.0
fixed_income_Treasury_Bond_ETF_cumret_5d,0.0,1.0,0.05516027817742862,0.1,10.0
fixed_income_Treasury_Bond_ETF_skewness_10d,0.0,1.0,0.04936144079929505,0.1,18.0
fixed_income_Treasury_Bond_ETF_kurtosis_10d,0.0,1.0,0.04795665711356708,0.1,16.0
fixed_income_Treasury_Bond_ETF_cumret_10d,0.0,1.0,0.056732715785284354,0.1,17.0
fixed_income_Treasury_Bond_ETF_skewness_20d,0.0,1.0,0.041607810899615835,0.1,29.0
fixed_income_Treasury_Bond_ETF_kurtosis_20d,0.0,1.0,0.039012865974231994,0.1,24.0
fixed_income_Treasury_Bond_ETF_cumret_20d,0.0,1.0,0.04394704379594626,0.1,25.0
fixed_income_Treasury_7_10Y_ETF_cumret_1d,0.0,1.0,0.05506686583967033,0.1,10.0
fixed_income_Treasury_7_10Y_ETF_skewness_5d,0.0,1.0,0.049422115486296776,0.1,14.0
fixed_income_Treasury_7_10Y_ETF_kurtosis_5d,0.0,1.0,0.04713776296351212,0.1,12.0
fixed_income_Treasury_7_10Y_ETF_cumret_5d,0.0,1.0,0.055563371549154764,0.1,13.0
fixed_income_Treasury_7_10Y_ETF_skewness_10d,0.0,1.0,0.052423452450994015,0.1,18.0
fixed_income_Treasury_7_10Y_ETF_kurtosis_10d,0.0,1.0,0.04941035347426052,0.1,18.0
fixed_income_Treasury_7_10Y_ETF_cumret_10d,0.0,1.0,0.05827528544636451,0.1,10.0
fixed_income_Treasury_7_10Y_ETF_skewness_20d,0.0,1.0,0.04240442301738462,0.1,26.0
fixed_income_Treasury_7_10Y_ETF_kurtosis_20d,0.0,1.0,0.03968142424640471,0.1,29.0
fixed_income_Treasury_7_10Y_ETF_cumret_20d,0.0,1.0,0.04386357359916711,0.1,22.0
fixed_income_Treasury_1_3Y_ETF_cumret_1d,0.0,1.0,0.04536080635863294,0.1,3.0
fixed_income_Treasury_1_3Y_ETF_skewness_5d,0.0,1.0,0.04325673937280242,0.1,13.0
fixed_income_Treasury_1_3Y_ETF_kurtosis_5d,0.0,1.0,0.04411722790945029,0.1,14.0
